Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2017-09-30,1.16590,1.10530,-0.22330,-2.49450,0.57160,-1.92290,0.02240,-1.94530,-1.94530,-1.94530,-2.48300,-2.49450,1.45500,1.45500,-1.33000,-1.18000,1.33930,3.57610,-1.86230,45.51470,43.12030,-34.69380,-117.25100,-2.93750,-2.6776,-2.6776
2017-06-30,2.92020,1.30230,-0.24980,-4.47230,8.17680,3.70450,0.11210,3.59240,3.59240,3.59240,-4.46080,-4.47230,1.45500,1.55000,2.47000,2.32000,2.31640,1.50360,-3.60030,-164.92710,-148.44170,42.73640,83.05890,-1.49690,-2.8845,-2.8845
2017-03-31,2.54880,1.36350,-0.21840,-4.13060,-3.47990,-7.61060,,-7.61060,-7.61060,-7.61060,-4.11910,-4.13060,1.45480,1.45480,-5.23000,-5.23000,3.60930,5.77010,-1.32200,129.01160,123.83740,-55.39400,-615.40030,,-2.2508,-2.2508
2016-12-31,-0.90850,1.36980,-0.09310,-0.55440,2.00080,1.44640,-0.01810,1.46450,1.46450,1.46450,-0.54290,-0.55440,1.45480,1.59260,1.00000,1.00000,10.53610,0.84000,5.24860,99.63610,120.15990,9.16390,15.94540,1.01030,-4.11480,-4.11480
2016-09-30,3.95180,1.23690,0.00000,-5.18870,1.04310,-4.14560,0.09120,-4.23680,-4.23680,-4.23680,-5.17210,-5.18870,1.34520,1.34520,-2.80000,-2.80000,2.76010,,,789.18010,534.62160,-40.72810,789.17990,-0.36900,-3.1854,-3.1859
2016-06-30,3.36290,1.30580,,-4.66870,0.85710,-3.81170,0.05410,-3.86580,-3.86580,-3.86580,-4.65210,-4.66870,1.45410,1.45410,-2.60000,-2.60000,1.27530,,,-118.45280,-128.71500,-28.28610,-118.45280,2.24320,-1.8408,-1.8402
2016-03-31,2.54450,1.87460,-0.91010,-5.32920,4.27720,-1.05200,,-1.05200,-1.05200,-1.05200,-5.31260,-5.32920,1.34150,1.34150,-0.80000,-0.80000,1.61090,,,-15.28260,-15.89400,-6.02160,-15.28260,4.73500,-4.0494,-4.0551
2015-12-31,3.20090,1.22690,-0.02770,-4.45550,0.47630,-3.97920,0.00600,-3.98520,-3.98520,-3.98520,-4.43910,-4.45550,1.13150,1.13150,-3.60000,-3.60000,1.01470,,,-596.16950,-998.48670,-86.21020,-596.16930,0.59080,-2.29900,-2.30080
2015-09-30,-0.79180,2.17720,-0.03130,-1.41670,1.90440,0.48770,,0.48770,0.48770,0.48770,-1.39850,-1.41670,0.91770,0.91770,0.80000,0.80000,3.39060,,,10.94660,11.69210,6.46870,10.94660,3.93790,-5.1165,-5.1803
2015-06-30,2.59070,1.06560,-0.01570,-3.67190,-1.61680,-5.28870,,-5.28870,-5.28870,-5.28870,-3.66300,-3.67190,0.90820,0.90820,-5.80000,-5.80000,2.16090,,,-119.43410,-128.53450,-67.21720,-119.43410,4.83070,-5.5269,-5.5807
2015-03-31,2.53260,1.32010,-0.02310,-3.87580,0.32580,-3.54990,,-3.54990,-3.54990,-3.54990,-3.86830,-3.87580,0.90420,0.90420,-4.00000,-4.00000,5.15800,,,-38.85930,-40.25430,-31.58900,-38.85930,10.06980,-1.2586,-1.2599
2014-12-31,0.64450,0.69630,-0.02360,-1.36450,0.03880,-1.32570,,-1.32570,-1.32570,-1.32570,-1.35680,-1.36450,0.78440,0.78440,-1.60000,-1.60000,,,,,,,,,-2.63510,-2.70590
2014-09-30,,,,,,,,,,,,,,,,0.00000,,,,,,,,,0,0
