Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2014-12-31,701.93980,558.63710,143.30270,78.63000,2.22000,76.40990,66.89280,-0.50000,66.39300,17.18500,49.20800,49.20800,49.20800,70.35280,66.89300,39.01700,41.61400,1.26000,1.20000,0.95490,0.45740,0.84290,20.41530,9.52970,9.52970,9.45850,7.01030,0.30310,12.36620,7.27790,4.43520,4.43520,2.12460,2.40660,28.34160,0.4361,0.3317
2014-09-30,559.52500,446.01500,113.51000,69.42900,1.54500,67.88400,45.62600,1.40400,47.03000,14.45300,32.57700,32.57700,32.57700,48.59800,45.62600,39.12300,41.65600,0.83000,0.79000,0.71800,0.46120,0.85610,20.28690,8.15440,8.15440,8.40530,5.82230,0.24620,9.95990,9.03630,3.08290,3.08290,1.43330,1.66100,27.00820,-1.411,-1.5181
2014-06-30,508.05500,395.60100,112.45400,60.67600,1.16600,59.51000,52.94400,2.29200,55.23600,20.15700,35.07900,35.07900,35.07900,55.61300,52.94400,39.11800,41.59800,0.90000,0.85000,1.29210,0.47000,0.88680,22.13420,10.42090,10.42090,10.87210,6.90460,0.23170,10.02180,8.98040,3.43800,3.58740,1.59980,1.82220,26.08040,-0.9662,-1.0808
2014-03-31,410.24400,316.77300,93.47100,52.60500,1.12600,51.47900,41.99200,-2.23400,39.75800,14.38100,25.37700,25.37700,25.37700,44.50500,41.99200,38.68700,41.30800,0.66000,0.62000,1.52930,0.47940,0.92090,22.78430,10.23590,10.23590,9.69130,6.18580,0.19270,7.57400,11.88280,2.58270,2.68620,1.19180,1.34450,25.12130,-3.13530,-3.30240
2013-12-31,538.27100,412.54500,125.72600,61.11300,2.36200,58.75090,66.97510,-1.09600,65.87900,19.79000,46.08900,46.08900,46.08900,69.74010,66.97520,36.10500,38.80100,1.28000,1.20000,1.51570,0.52260,1.09470,23.35740,12.44260,12.44270,12.23900,8.56240,0.26870,13.80780,6.51800,5.47770,5.47770,2.30060,2.61510,23.21470,-0.9913,-1.1476
2013-09-30,493.76400,378.89800,114.86600,57.87900,2.61000,55.26900,59.59700,-2.81100,56.78600,18.59500,38.19100,38.19100,38.19100,62.10800,59.59700,36.22600,38.86500,1.05000,0.99000,1.15090,0.50190,1.00760,23.26330,12.06990,12.06990,11.50060,7.73470,0.26350,13.82670,6.50920,4.82010,4.82010,2.03780,2.40090,21.86870,-0.5133,-0.6139
2013-06-30,451.38400,354.89800,96.48600,53.63100,2.73100,50.90000,45.58600,-7.05400,38.53200,10.38900,28.14300,28.14300,28.14300,48.08600,45.58600,36.15100,38.75800,0.78000,0.74000,1.57040,0.51530,1.06330,21.37560,10.09920,10.09920,8.53640,6.23480,0.25540,14.92380,6.03070,3.74900,3.74900,1.59230,1.81700,20.72790,-0.5006,-0.5787
2013-03-31,337.27700,271.90000,65.37700,45.60300,2.21400,43.38900,21.98800,-5.51300,16.47500,4.43400,12.04100,12.04100,12.04100,24.14600,21.98800,35.79800,38.44000,0.34000,0.32000,2.40410,0.55320,1.23830,19.38380,6.51930,6.51930,4.88470,3.57010,0.19040,14.12090,6.37350,1.69200,1.69200,0.67990,0.75590,19.76220,-0.00310,-0.07340
2012-12-31,365.11200,295.61300,69.49910,44.62200,2.98600,41.63600,27.86310,-4.26300,23.60000,-71.52800,95.12800,95.12800,95.12800,30.14610,27.86310,34.05700,35.17200,2.81000,2.72000,1.53910,0.51010,1.04120,19.03500,7.63140,7.63140,6.46380,26.05450,0.23170,17.99470,5.00150,13.70310,14.24670,6.03770,6.71330,19.49320,-2.583,-2.678
2012-09-30,342.89600,280.21900,62.67700,45.06400,2.73200,42.33200,20.34500,-13.35900,6.98600,0.20200,6.78400,6.78400,6.78400,22.64400,20.34500,35.21600,35.76100,0.19000,0.19000,2.31440,0.54800,1.21240,18.27870,5.93330,5.93330,2.03740,1.97840,0.23150,20.55610,4.37830,1.13810,1.13810,0.45800,0.51440,16.74820,-0.5292,-0.6074
2012-06-30,282.09500,230.52900,51.56600,39.63400,2.17700,37.45700,14.10900,-11.26700,2.84200,-5.16300,8.00500,8.00500,8.00500,16.03000,14.10900,32.75500,33.10400,0.24000,0.24000,0.98980,0.54550,1.20010,18.27970,5.00150,5.00150,1.00750,2.83770,0.22680,17.87900,5.03380,1.61180,1.61640,0.64360,0.73260,15.15960,-1.4725,-1.5331
2012-03-31,204.35000,169.11400,35.23600,33.69800,1.58100,32.11700,3.11900,-7.69300,-4.57400,0.18000,-4.75400,-4.75400,-4.75400,4.81200,3.11900,32.63400,32.63400,-0.15000,-0.15000,1.20030,0.55470,1.24590,17.24300,1.52630,1.52630,-2.23830,-2.32640,0.16780,13.72950,6.55520,-0.97640,-0.97960,-0.39040,-0.43480,14.86700,-1.69650,-1.75730
2011-12-31,245.99000,212.80090,33.18910,38.63800,,32.07500,1.11410,-12.71800,-11.60400,0.17000,-11.77400,-11.77400,-11.77400,3.02510,1.11410,32.38200,32.38200,-0.36000,-0.36000,1.85590,0.55360,1.24030,13.49200,0.45290,0.45290,-4.71730,-4.78640,0.20140,16.47400,5.46310,-2.40820,-2.40820,-0.96400,-1.07490,15.04990,-0.7096,-0.762
2011-09-30,217.53400,179.59100,37.94300,36.17400,,36.17400,1.76900,-4.84400,-3.07500,0.16000,-3.23500,-3.23500,-3.23500,3.46300,1.76900,32.41700,32.41700,-0.10000,-0.10000,1.69970,0.54920,1.21810,17.44230,0.81320,0.81320,-1.41360,-1.48710,0.17630,11.08910,8.11610,-0.65000,-0.65200,-0.26230,-0.29300,15.34960,-0.5768,-0.622
