Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2016-09-30,5936.09200,5162.93000,773.16160,510.01700,,574.47800,198.68360,-35.91800,162.76600,44.93100,117.83500,117.83500,117.72700,249.38560,198.68360,90.93700,91.93800,1.29000,1.28000,1.66410,0.37640,0.62100,13.02480,3.34700,3.34700,2.74200,1.98320,0.45180,1.98160,1.00410,89.63600,2.63000,7.00300,0.89690,1.63990,50.01300,0.2888,-0.1324
2016-06-30,5972.10100,5173.31000,798.79100,518.70400,,575.19900,223.59180,-36.79700,186.79500,51.45700,135.33800,135.33800,134.27000,274.37880,223.59180,91.78200,92.69300,1.46000,1.45000,1.65550,0.37050,0.61370,13.37540,3.74390,3.74390,3.12780,2.24830,0.46130,2.06590,1.04690,85.96920,3.04210,8.13170,1.04530,1.91480,48.70100,1.6042,1.1821
2016-03-31,5474.17700,4725.27900,748.89790,505.81300,,567.53400,181.36380,-33.71900,147.64500,41.05300,106.59200,106.59200,106.23500,231.17380,181.36380,91.51400,92.78700,1.16000,1.14000,1.71260,0.37720,0.61620,13.68060,3.31310,3.31310,2.69710,1.94070,0.44320,1.93520,1.04150,86.41340,2.43690,6.86110,0.86290,1.51770,47.74030,-0.36260,-0.89350
2015-12-31,6751.34200,5912.37500,838.96730,529.08900,,584.65800,254.30910,-33.79500,220.51600,61.10800,159.40800,159.40800,158.49200,305.70010,254.30910,94.60800,95.68600,1.69000,1.68000,1.51690,0.36200,0.57800,12.42670,3.76680,3.76680,3.26630,2.34760,0.51850,2.39710,1.09570,82.13590,3.80010,11.09580,1.22420,2.42430,46.13590,5.7342,5.3385
2015-09-30,5698.30400,4955.93700,742.36720,497.87600,,556.57300,185.79440,-33.73500,152.05900,41.75500,110.30400,110.30400,109.24400,238.51240,185.79440,94.30200,95.36300,1.16000,1.15000,1.76570,0.39480,0.67280,13.02790,3.26050,3.26050,2.66850,1.91710,0.47460,1.99920,1.12490,80.00540,2.61840,7.70700,0.91870,1.58460,45.04070,-1.1071,-1.5805
2015-06-30,5829.98900,5061.39400,768.59470,504.75400,,561.65200,206.94290,-34.29300,172.65000,47.96700,124.68300,124.68300,123.93200,258.77990,206.94290,95.63800,96.64900,1.30000,1.28000,1.66820,0.37840,0.62950,13.18350,3.54960,3.54960,2.96140,2.12580,0.48130,2.01020,1.14660,78.49210,2.98290,8.81970,1.02940,1.85420,44.27140,4.758,4.3666
2015-03-31,5002.38500,4317.06300,685.32180,454.53000,,507.88800,177.43410,-30.47600,146.95800,40.86700,106.09100,106.09100,106.05800,224.51610,177.43410,95.92000,97.12500,1.11000,1.09000,1.79620,0.37940,0.61470,13.69990,3.54700,3.54700,2.93780,2.12010,0.44890,1.91430,1.02620,87.69890,2.64020,6.73800,0.95200,1.63850,42.00110,-2.48750,-2.80820
2014-12-31,6396.87800,5581.02100,815.85740,506.07400,,639.43000,176.42720,-27.37800,149.05400,32.76800,116.28600,116.28600,116.17700,227.76720,176.42820,98.67500,99.94700,1.20000,1.18000,1.54720,0.33210,0.50050,12.75400,2.75800,2.75800,2.33010,1.81620,0.51440,2.38990,1.05840,85.03310,2.79610,6.62980,0.93510,1.86750,43.36940,4.5712,4.2255
2014-09-30,5613.21600,4884.52900,728.68700,485.86400,,528.87100,199.81590,4.41300,204.22900,57.37700,146.85200,146.85200,146.86400,250.00390,199.81590,98.63100,99.86600,1.49000,1.47000,1.74970,0.34220,0.52420,12.98160,3.55970,3.55970,3.63840,2.61640,0.49620,2.17790,1.10910,81.14530,3.45450,8.37900,1.29830,2.27250,43.35620,-0.6535,-0.9169
2014-06-30,5676.53900,4929.01800,747.52100,489.90800,,539.25200,208.26900,-27.73900,180.53000,52.47000,128.06000,128.06000,127.88400,258.35210,208.26900,99.44900,100.56200,1.29000,1.27000,1.68130,0.32810,0.49240,13.16860,3.66890,3.66890,3.18030,2.25290,0.49110,2.14750,1.10490,81.45840,2.97250,7.08710,1.10780,1.99720,43.60340,1.5956,1.3029
