Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2015-01-31,263.75600,157.42800,106.32800,53.38900,53.38900,52.93900,-0.02500,52.91400,19.60100,33.31300,33.31300,33.31300,57.53600,52.93900,54.22000,54.57400,0.62000,0.61000,2.50570,,,40.31300,20.07120,20.07120,20.06170,12.63020,0.89680,1.36120,,,19.11590,19.11590,11.32630,19.11590,3.20230,1.1918,1.0531
2014-10-31,137.97900,96.35600,41.62300,36.14300,36.14300,5.48000,-0.00600,5.47400,2.16300,3.31100,3.31100,3.31100,10.04300,5.48000,54.33000,54.66300,0.06000,0.06000,1.83740,,,30.16620,3.97160,3.97160,3.96730,2.39960,0.47510,0.57640,,,2.38450,2.38450,1.14020,2.38450,2.55380,-0.297,-0.3902
2014-07-31,152.47900,101.57400,50.90500,37.57000,37.57000,13.33500,-0.01000,13.32500,5.00500,8.32000,8.32000,8.32000,17.50300,13.33500,54.28000,54.67000,0.15000,0.15000,2.25050,,,33.38490,8.74550,8.74550,8.73890,5.45650,0.62470,0.95150,,,6.26890,6.26890,3.40870,6.26890,2.44420,0.3066,0.1336
2014-04-30,126.00400,87.06900,38.93500,33.67300,33.67300,5.26200,-0.31600,4.94600,1.86600,3.08000,3.08000,3.06000,9.13600,5.26200,53.86500,54.29300,0.06000,0.06000,2.40240,,,30.89980,4.17610,4.17610,3.92530,2.42850,0.56600,0.88330,,,2.49910,2.49910,1.38340,2.49910,2.27110,-0.07580,-0.26310
2014-01-31,211.96400,127.79500,84.16900,43.82800,43.82800,40.34100,-0.29000,40.05100,15.22500,24.82600,24.82600,24.46500,43.78100,40.34100,53.29500,53.74200,0.45000,0.46000,2.01770,,0.16680,39.70910,19.03200,19.03200,18.89520,11.54210,0.91340,1.42980,,,21.24190,21.24190,10.69840,21.24190,2.15670,0.9018,0.8237
2013-10-31,110.74700,76.51300,34.23400,31.21300,31.21300,3.02100,-0.32100,2.70000,1.02300,1.67700,1.67700,1.65600,6.73300,3.02100,53.41000,53.80200,0.03000,0.03000,2.02370,0.17960,0.21890,30.91190,2.72780,2.72780,2.43800,1.49530,0.51220,0.66250,,,1.88250,1.88250,0.77560,1.54440,1.64480,-0.2157,-0.3388
2013-07-31,117.08700,77.68700,39.40000,32.21400,32.21400,7.18600,-0.65700,6.52900,2.46000,4.06900,4.06900,4.01700,10.49200,7.18600,53.33500,53.80500,0.08000,0.07000,2.40220,0.19220,0.23790,33.65020,6.13730,6.13730,5.57620,3.43080,0.62430,0.93070,,,4.96400,4.96400,2.16970,4.01000,1.51690,0.1146,-0.0141
2013-04-30,95.60400,65.39100,30.21300,27.02400,27.02400,3.18900,-0.51100,2.67800,1.10800,1.57000,1.57000,1.53900,6.20000,3.18900,52.94300,53.40000,0.03000,0.03000,2.08290,0.20600,0.45910,31.60220,3.33560,3.33560,2.80110,1.60980,0.51100,0.86800,,,2.08910,2.08910,0.83920,1.65870,1.39120,-0.22040,-0.37300
2013-01-31,173.58900,102.45100,71.13800,38.09500,38.09500,33.04300,-0.39500,32.64800,13.44200,19.20600,19.20600,23.39300,35.86900,33.04300,35.44400,35.44400,2.44000,2.44000,1.88530,0.21610,0.48770,40.98070,19.03520,19.03520,18.80770,13.47610,0.91530,1.68420,,,27.14860,27.14860,10.12650,21.28230,1.31050,1.3069,0.9904
2012-10-31,86.58700,59.65600,26.93100,25.09000,25.09000,1.84100,-0.55700,1.28400,0.55500,0.72900,0.72900,0.71000,4.42200,1.84100,52.56600,52.95900,0.01000,0.01000,2.06520,0.41120,0.69840,31.10280,2.12620,2.12620,1.48290,0.82000,0.51230,0.70680,,,1.47570,1.47570,0.43130,0.86890,0.91530,0.6437,0.9315
