Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2019-06-30,14.51800,0.18600,14.33200,13.06700,,13.20800,1.12400,4.31900,5.44300,1.62000,3.82300,3.82300,3.82300,1.26400,1.12400,1.38100,1.38100,2.77000,2.77000,6.99750,0.17210,0.20870,98.71880,7.74210,7.74210,37.49140,26.33280,0.05810,4.53660,1.67260,53.80910,2.54490,2.79410,1.53070,2.10680,108.79920,2.0051,1.9956
2019-03-31,10.71200,0.18600,10.52600,13.04700,,13.19700,-2.67100,9.40600,6.73500,1.71700,5.01800,5.01800,5.01800,-2.52000,-2.67100,1.38100,1.38100,3.63000,3.63000,7.11160,0.17600,0.21440,98.26360,-24.93470,-24.93470,62.87340,46.84470,0.04400,4.32560,1.40850,63.89560,3.42760,3.77290,2.06110,2.82440,106.03040,-0.6358,-0.6358
2018-12-31,10.42800,0.17600,10.25200,12.62000,,12.77300,-2.52100,-27.32900,-29.85000,-8.31700,-21.53300,-21.53300,-21.53300,-2.36800,-2.52100,1.38100,1.38100,-15.60000,-15.60000,7.07690,0.18120,0.22220,98.31220,-24.17530,-24.17530,-286.24860,-206.49210,0.04440,3.20000,1.47060,61.19970,-15.23030,-16.82490,-9.15850,-12.46990,102.37730,-1.80810,-1.86890
2018-09-30,10.10600,0.19100,9.91500,12.79200,,13.44800,-3.53300,-3.68100,-7.21400,-1.88000,-5.33400,-5.33400,-5.33400,-2.87700,-3.53300,1.38100,1.38100,-3.86000,-3.86000,8.33650,0.16130,0.19300,98.11010,-34.95950,-34.95950,-71.38340,-52.78050,0.03830,4.15220,1.99210,45.17810,-3.27410,-3.56750,-2.02050,-2.74600,117.99130,3.1636,3.1542
2018-06-30,11.00700,0.18600,10.82100,12.62500,,13.53000,-2.70900,1.02700,-1.68200,-0.71000,-0.97200,-0.97200,-0.97200,-1.80400,-2.70900,1.38100,1.38100,-0.70000,-0.70000,8.80350,0.16270,0.19510,98.31020,-24.61160,-24.61160,-15.28120,-8.83070,0.04260,3.50940,1.12090,80.29440,-0.60240,-0.65910,-0.37650,-0.50430,116.84790,-1.5185,-1.6083
2018-03-31,9.33800,0.19100,9.14700,12.62100,,13.52000,-4.37300,4.04100,-0.33200,-0.10000,-0.23200,-0.23200,-0.23200,-3.47400,-4.37300,1.38100,1.38100,-0.17000,-0.17000,10.30030,0.15590,0.18540,97.95460,-46.83020,-46.83020,-3.55540,-2.48450,0.03500,4.15220,1.83350,49.08650,-0.13650,-0.14940,-0.08700,-0.11520,123.06440,-2.4178,-2.4475
2017-12-31,10.25200,0.21200,10.04000,12.26700,,13.48500,-3.44500,1.33400,-2.11100,-16.85000,14.73900,14.73900,14.73900,-2.22700,-3.44500,1.38100,1.38100,10.67000,10.67000,11.00450,0.14410,0.16900,97.93210,-33.60320,-33.60320,-20.59110,143.76710,0.03540,5.30000,1.97950,45.46530,7.89880,8.60910,5.08430,6.76050,135.11800,-0.58940,-0.61400
2017-09-30,10.91400,0.21400,10.70000,12.73300,,14.11500,-3.41500,1.20500,-2.21000,-1.13500,-1.07500,-1.07500,-1.07500,-2.03300,-3.41500,1.38100,1.38100,-0.77000,-0.77000,9.95900,0.16450,0.19760,98.03920,-31.29010,-31.29010,-20.24920,-9.84970,0.03890,5.35000,1.74150,51.67950,-0.67300,-0.75030,-0.38300,-0.56230,115.69180,0.5641,0.5627
2017-06-30,10.20100,0.22400,9.97700,12.18700,,13.61000,-3.63300,0.81700,-2.81600,-1.46500,-1.35100,-1.35100,-1.35100,-2.21000,-3.63300,1.38100,1.38100,-0.98000,-0.98000,2.76370,0.17400,0.21140,97.80410,-35.61420,-35.61420,-27.60510,-13.24380,0.03900,4.57140,1.54440,58.27370,-0.90420,-1.02560,-0.51680,-0.74690,108.19330,-0.9631,-1.0044
2017-03-31,10.27900,0.23000,10.04900,11.92600,,13.31500,-3.26600,2.00500,-1.26100,-4.24000,2.97900,2.97900,2.97900,-1.87700,-3.26600,1.38100,1.38100,2.16000,2.16000,2.78900,0.17700,0.21580,97.76240,-31.77350,-31.77350,-12.26770,28.98140,0.04030,4.60000,1.73190,51.96520,2.03330,2.33460,1.16750,1.67350,106.08830,-0.5713,-0.5764
