Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2017-03-31,1527.00000,202.00000,1325.00000,335.00000,272.00000,608.00000,717.00000,-1.00000,716.00000,150.00000,566.00000,566.00000,566.00000,749.00000,717.00000,303.00000,314.00000,1.86000,1.81000,2.15280,0.19600,0.24380,86.77150,46.95480,46.95480,46.88930,37.06610,0.19780,,4.25350,21.15910,13.94090,24.13650,7.33350,11.20790,13.18180,1.2598,1.1784
2016-12-31,1149.00000,516.00000,633.00000,285.00000,350.00000,637.00000,-4.00000,-2.00000,-6.00000,-5.00000,-1.00000,-1.00000,-1.00000,45.00000,-4.00000,303.00000,303.00000,0.00000,0.00000,1.73680,0.21810,0.27900,55.09140,-0.34810,-0.34810,-0.52220,-0.08700,0.14890,14.74290,1.95740,45.97910,-0.02820,-0.05450,-0.01300,-0.02200,11.56030,3.7524,3.6713
2016-09-30,898.00000,401.00000,497.00000,291.00000,254.00000,546.00000,-49.00000,-3.00000,-52.00000,-14.00000,-38.00000,-38.00000,-38.00000,-4.00000,-49.00000,301.00000,301.00000,-0.13000,-0.13000,2.07800,0.21530,0.27440,55.34520,-5.45660,-5.45660,-5.79060,-4.23160,0.13030,8.02000,1.24200,72.46100,-1.05320,-2.03100,-0.55140,-0.82640,12.02670,0.3879,0.2857
2016-06-30,1271.00000,179.00000,1092.00000,294.00000,236.00000,532.00000,560.00000,-8.00000,552.00000,112.00000,440.00000,440.00000,440.00000,606.00000,560.00000,301.00000,315.00000,1.46000,1.40000,2.40730,0.21020,0.30270,85.91660,44.05980,44.05980,43.43040,34.61840,0.19240,6.88460,5.16670,17.41940,11.84070,22.38050,6.66160,9.35180,12.34550,-0.37460,-0.50160
2016-03-31,1308.00000,226.00000,1082.00000,282.00000,263.00000,546.00000,536.00000,-10.00000,526.00000,-373.00000,899.00000,899.00000,899.00000,584.00000,536.00000,310.00000,330.00000,2.90000,2.77000,1.80070,0.22590,0.33920,82.72170,40.97860,40.97860,40.21410,68.73090,0.18550,,5.61370,16.03210,26.47230,55.18720,12.75180,20.49240,11.28240,1.7802,1.701
2015-12-31,1070.00000,546.00000,524.00000,266.00000,287.00000,555.00000,-31.00000,1.00000,-30.00000,15.00000,-45.00000,-45.00000,-45.00000,19.00000,-31.00000,311.00000,311.00000,-0.14000,-0.14000,1.32020,0.00230,0.11290,48.97200,-2.89720,-2.89720,-2.80370,-4.20560,0.16540,13.00000,1.72300,52.23370,-1.49400,-3.64960,-0.69550,-1.49060,9.71610,2.8579,2.7899
2015-09-30,815.00000,409.00000,406.00000,265.00000,257.00000,525.00000,-119.00000,-9.00000,-128.00000,12.00000,-140.00000,-140.00000,-140.00000,-69.00000,-119.00000,312.00000,312.00000,-0.45000,-0.45000,1.44400,0.00410,0.13830,49.81600,-14.60120,-14.60120,-15.70550,-17.17790,0.13580,6.59680,1.10580,81.38650,-4.45010,-10.34740,-2.33330,-4.43180,10.11580,0.0132,-0.0497
2015-06-30,1203.00000,173.00000,1030.00000,296.00000,221.00000,518.00000,512.00000,-3.00000,509.00000,67.00000,442.00000,442.00000,442.00000,561.00000,512.00000,311.00000,335.00000,1.42000,1.32000,1.63920,0.00740,0.18970,85.61930,42.56030,42.56030,42.31090,36.74150,0.21030,5.08820,8.35420,10.77310,13.24940,28.98360,7.72590,13.15090,10.72670,-0.21190,-0.28360
2015-03-31,1185.00000,234.00000,951.00000,285.00000,264.00000,551.00000,400.00000,-3.00000,397.00000,2.00000,395.00000,395.00000,395.00000,455.00000,400.00000,311.00000,325.00000,1.27000,1.20000,1.35420,0.01010,0.20850,80.25320,33.75530,33.75530,33.50210,33.33330,0.19280,6.50000,3.27350,27.49370,13.01050,32.59080,6.42590,12.87900,9.79350,0.5927,0.4954
2014-12-31,1126.00000,401.00000,725.00000,283.00000,276.00000,563.00000,162.00000,-6.00000,156.00000,14.00000,142.00000,142.00000,142.00000,215.00000,162.00000,311.00000,323.00000,0.46000,0.44000,1.22320,0.01360,0.23560,64.38720,14.38720,14.38720,13.85440,12.61100,0.18260,10.28210,2.30740,39.00530,5.28470,16.86460,2.30260,5.21290,8.66770,2.1097,2.0637
