Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2016-03-31,58.28600,8.53500,49.75100,7.06000,31.71500,-3.27000,47.10900,2.64200,-0.88700,1.75500,0.64400,1.11100,1.11100,,1.11100,7.78700,2.64200,49.45100,50.46000,0.02000,0.02000,0.72740,0.43810,0.77980,85.35670,4.53280,4.53280,3.01100,1.90610,0.16310,1.27030,70.84690,0.87060,-0.84410,0.31090,0.48910,2.45130,0.25250,0.20650
2015-12-31,65.05900,9.89200,55.16700,7.78100,31.35100,,79.44600,-24.27900,-0.84000,-25.11900,3.13000,-28.24900,-28.24900,,-28.24900,16.12400,-24.27900,51.40200,51.40200,-0.55000,-0.53000,0.78110,0.41770,0.71740,84.79530,-37.31840,-37.31840,-38.60960,-43.42060,0.17630,1.37560,65.42740,-20.37980,22.54920,-7.65690,-11.86690,2.63410,0.2835,0.2353
2015-09-30,65.13800,9.76500,55.37300,7.93800,30.73700,,44.41500,10.95800,-0.82400,10.13400,3.62300,6.51100,6.51100,,6.51100,16.80200,10.95800,51.22800,52.23000,0.13000,0.12000,0.74750,0.35880,0.58460,85.00880,16.82280,16.82280,15.55770,9.99570,0.15950,1.56450,57.52630,3.74580,-4.99700,1.59460,2.40190,3.27030,0.2468,0.2115
2015-06-30,65.80200,9.86500,55.93700,7.05500,32.35600,,45.42100,10.51600,-0.81500,9.70100,4.02300,5.67800,5.67800,,5.67800,16.63100,10.51600,51.75300,52.96500,0.11000,0.11000,0.72170,0.36230,0.58940,85.00810,15.98130,15.98130,14.74270,8.62890,0.15830,1.59660,56.36870,3.21030,-4.19380,1.36580,2.04710,3.26950,0.3462,0.2987
2015-03-31,63.77000,9.62500,54.14500,7.08900,31.95000,,44.98500,9.16000,-0.83500,8.32500,3.23300,5.09200,5.09200,,5.09200,15.21000,9.16000,52.26700,54.29200,0.10000,0.09000,0.71730,0.36930,0.60350,84.90670,14.36410,14.36410,13.05470,7.98490,0.15420,1.34500,66.91640,2.93000,-3.71020,1.23120,1.84800,3.16210,0.35220,0.30660
2014-12-31,67.76600,9.40900,58.35700,6.83300,33.19500,-0.01900,46.04900,12.30800,-0.75100,11.55700,5.04100,6.51600,6.51600,,6.51600,18.39700,12.30800,52.32800,54.41000,0.13000,0.12000,0.70620,0.37790,0.62150,86.11550,18.16250,18.16250,17.05430,9.61540,0.15980,1.27810,70.41720,3.66480,-4.56290,1.53700,2.27990,3.28390,0.1402,0.1055
2014-09-30,67.61500,9.41800,58.19700,6.48700,31.50600,-0.04400,44.76500,13.43200,-0.91900,12.51300,3.02000,9.49300,9.49300,,9.49300,20.25300,13.43200,52.08900,54.10600,0.18000,0.18000,0.63360,0.39120,0.65710,86.07110,19.86540,19.86540,18.50630,14.03980,0.15860,1.56040,57.67770,5.51380,-6.04780,2.22700,3.35690,3.21260,0.2649,0.2308
2014-06-30,66.54400,9.53100,57.01300,6.36400,30.27700,-0.04500,44.02500,12.98800,-1.18400,11.80400,4.59600,7.20800,7.20800,,7.20800,20.41900,12.98800,52.27500,54.19000,0.14000,0.13000,0.54380,0.40490,0.69520,85.67720,19.51790,19.51790,17.73860,10.83190,0.15650,1.65380,54.41870,4.29230,-4.22580,1.69520,2.55440,3.12820,0.3986,0.3537
2014-03-31,60.69000,8.85400,51.83600,6.40300,30.38000,-0.04500,43.96000,7.87600,-0.90100,6.97500,2.58000,4.39500,4.39500,,4.39500,15.10100,7.87600,53.10500,55.37600,0.08000,0.08000,0.57100,0.41490,0.72410,85.41110,12.97740,12.97740,11.49280,7.24170,0.14100,1.35950,66.20020,2.62200,-2.55290,1.02130,1.53410,3.06140,0.21710,0.17070
2013-12-31,58.41800,6.57600,51.84200,6.18400,29.78200,-8.20700,58.30800,-6.46600,-1.07500,-7.54100,-1.68100,-5.86000,-5.86000,,-5.86000,7.75200,-6.46600,56.47300,59.47600,-0.09000,-0.10000,0.74490,0.40980,0.70910,88.74320,-11.06850,-11.06850,-12.90870,-10.03120,0.13890,1.45470,61.86980,-3.49200,3.97870,-1.39310,-2.06110,3.07160,0.1446,0.1042
2013-09-30,52.61600,6.09900,46.51700,5.59700,25.13500,-0.05000,35.00100,11.51600,-0.37300,11.14300,4.08500,7.05800,7.05800,,7.05800,15.79500,11.51600,56.60600,59.50500,0.12000,0.12000,0.77230,0.24200,0.31920,88.40850,21.88690,21.88690,21.17800,13.41420,0.14180,2.06190,43.64870,3.75480,-7.61130,1.90180,2.84630,3.29190,0.1158,0.0731
2013-06-30,52.01300,5.63600,46.37700,5.22300,24.98700,-0.04900,33.67600,12.70100,-0.09700,12.60400,4.63100,7.97300,7.97300,,7.97300,16.17800,12.70100,57.83300,60.91000,0.14000,0.13000,0.69070,0.11750,0.13310,89.16430,24.41890,24.41890,24.23240,15.32890,0.15300,2.35970,38.14010,4.08290,-12.71290,2.34510,3.60310,3.30290,0.2104,0.1649
