Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2018-12-31,329.29310,299.53110,29.76200,17.38200,17.38180,12.38020,-1.45300,10.92700,1.01300,9.91400,9.91400,9.91400,13.73920,12.38010,11.22400,11.37800,0.88000,0.87000,1.39270,0.23800,0.33270,9.03810,3.75960,3.75960,3.31830,3.01070,0.57540,,1.41860,63.44110,4.47990,-47.32440,1.73250,3.41350,19.64140,2.7618,2.4168
2018-09-30,308.09500,278.96400,29.13100,15.12500,15.12500,14.00600,-1.31400,12.69200,2.82600,9.86600,9.86600,9.86600,15.03300,14.00600,11.24800,11.40600,0.88000,0.86000,1.39770,0.25010,0.35240,9.45520,4.54600,4.54600,4.11950,3.20230,0.57740,,1.37920,65.25590,4.66510,-30.36350,1.84900,3.49840,18.80040,0.3922,-0.0739
2018-06-30,321.13200,292.06400,29.06800,16.07000,16.07000,12.99800,-1.14000,11.85800,2.66300,9.19500,9.19500,9.19500,13.92000,12.99800,11.23500,11.38300,0.82000,0.81000,1.37380,0.26260,0.37610,9.05170,4.04760,4.04760,3.69260,2.86330,0.61410,,1.47940,60.83600,4.58470,-20.75290,1.75820,3.38070,17.83070,1.3929,1.3322
2018-03-31,320.51600,294.05000,26.46600,17.79500,17.79500,8.67100,-1.16400,7.50700,1.39600,6.11100,6.11100,6.11100,9.58600,8.67100,11.14600,11.33800,0.55000,0.54000,1.30770,0.27390,0.39810,8.25730,2.70530,2.70530,2.34220,1.90660,0.59780,,1.30260,69.09070,3.18800,-12.27900,1.13970,2.31470,17.08130,-1.02640,-1.03280
2017-12-31,295.78200,269.33700,26.44500,16.16800,16.16790,10.27700,-1.37800,8.89900,-32.66900,41.56800,41.56800,41.56800,11.72500,10.27700,11.02100,11.20900,3.77000,3.71000,1.49270,0.28530,0.42110,8.94070,3.47450,3.47450,3.00860,14.05360,0.59690,,1.69020,53.24720,22.66870,-123.42420,8.38820,16.20060,16.48880,1.1721,1.0429
2017-09-30,269.62500,245.21900,24.40600,14.31600,14.31600,10.09000,-1.05800,9.03200,3.23200,5.80000,5.80000,5.80000,10.61700,10.09000,11.07500,11.27200,0.52000,0.51000,1.32680,0.27100,0.52000,9.05180,3.74220,3.74220,3.34980,2.15110,0.56030,,1.54120,58.39540,4.09520,-7.70250,1.20520,2.98530,12.78830,1.4744,1.4271
2017-06-30,259.31800,233.58300,25.73500,16.53100,16.53100,9.20400,-1.07000,8.13400,2.67300,5.46100,5.46100,5.46100,9.77800,9.20400,10.98700,11.19100,0.50000,0.49000,1.33100,0.30070,0.57340,9.92410,3.54930,3.54930,3.13670,2.10590,0.56250,,1.57080,57.29410,4.06810,-6.60430,1.18470,2.84480,12.12110,-0.3826,-0.413
2017-03-31,290.06300,264.70100,25.36200,13.71300,13.71300,11.64900,-1.13400,10.51500,3.84700,6.66800,6.66800,6.66800,12.25000,11.64900,10.90900,11.07500,0.61000,0.60000,1.30790,0.33480,0.64370,8.74360,4.01600,4.01600,3.62510,2.29880,0.63110,,1.75900,51.16510,5.34590,-7.23220,1.45080,3.55590,11.39830,0.89520,0.89300
2016-12-31,288.16000,261.56500,26.59500,18.04000,18.04010,8.55500,-1.24300,7.31200,2.90300,4.40900,4.40900,4.40900,9.30500,8.55500,10.71400,10.97400,0.40000,0.40000,1.29970,0.36620,0.71200,9.22920,2.96880,2.96880,2.53750,1.53010,0.61930,,1.67460,53.74260,3.75550,-4.42990,0.94760,2.38010,10.77570,0.3096,0.2783
2016-09-30,283.78200,257.68700,26.09500,14.93300,14.93300,11.16200,-1.34800,9.81400,3.20700,6.60700,6.60700,6.60700,11.94000,11.16200,10.73300,11.06100,0.62000,0.60000,1.31160,0.41000,0.81980,9.19540,3.93330,3.93330,3.45830,2.32820,0.62710,,1.73000,52.02290,5.90000,-6.29560,1.46000,3.48120,10.43070,1.2676,1.2607
