Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2015-12-31,19.76100,8.52000,11.24100,12.56700,,12.56700,-1.32600,-0.09200,-1.41800,-0.37200,-1.04600,-1.04600,,-1.00400,-1.11200,-1.32600,16.22100,16.26600,-0.06000,-0.06000,3.32360,,0.00250,56.88480,-6.71010,-6.71010,-7.17580,-5.08070,0.14920,,2.08630,43.13950,-0.95680,-1.49380,-0.78990,-0.95680,6.64640,-0.7445,-0.7472
2015-09-30,21.27200,5.21300,16.05900,12.78200,,12.78200,3.27700,-0.05900,3.21800,0.60000,2.61800,2.61800,,1.46300,3.49000,3.27700,16.24300,16.34500,0.09000,0.09000,3.05190,,0.00060,75.49360,15.40520,15.40520,15.12790,6.87760,0.14940,,2.11260,42.60110,2.31680,3.55750,1.83890,2.31680,6.92780,0.4345,0.4329
2015-06-30,45.46100,10.72000,34.74100,20.07200,,20.07200,14.66900,-0.41500,14.25400,5.68500,8.56900,8.56900,,8.66400,14.89500,14.66900,16.23800,16.31100,0.53000,0.53000,2.71850,,0.00110,76.41940,32.26720,32.26720,31.35440,19.05810,0.30850,,1.94080,46.37290,7.57170,11.63440,5.81560,7.57170,6.94090,1.1841,1.1816
2015-03-31,26.03100,7.66800,18.36300,12.90100,,12.90100,5.46200,-0.25100,5.21100,1.77500,3.43600,3.43600,,2.68200,5.65700,5.46200,16.11700,16.16200,0.17000,0.17000,2.54320,,0.10330,70.54280,20.98270,20.98270,20.01840,10.30310,0.19150,,1.75710,51.22160,3.26950,5.24920,2.52830,3.26950,6.44660,1.07300,1.06530
2014-12-31,19.84200,9.73400,10.10800,13.97200,,13.97200,-3.86400,-0.12900,-3.99300,-1.09100,-2.90200,-2.90200,,-2.82200,-3.66900,-3.86400,9.61200,9.61200,0.54000,0.54000,1.94520,,0.25890,50.94240,-19.47380,-19.47380,-20.12400,-14.22240,0.14280,,1.96490,45.80280,-2.98930,-4.34930,-2.08790,-2.98930,6.07920,-2.0324,-2.0496
2014-09-30,20.67400,6.88200,13.79200,12.49700,,15.04500,-1.25300,-0.05000,-1.30300,-0.38700,-0.91600,-0.91600,,-0.86800,-1.06600,-1.25300,15.91100,15.91100,-0.05000,-0.05000,2.77470,,0.07830,66.71180,-6.06080,-6.06080,-6.30260,-4.19850,0.17860,,1.05810,85.05470,-1.02530,-1.55690,-0.79130,-1.02530,5.59160,-1.5442,-1.5448
2014-06-30,14.94700,5.80700,9.14000,10.19600,,10.19600,-1.05600,-0.44500,-1.50100,-0.59400,-0.90700,-0.90700,,-0.77700,-0.92300,-1.05600,4.97200,4.97200,-0.16000,-0.16000,2.57300,,0.09980,61.14940,-7.06500,-7.06500,-10.04220,-5.19840,0.12370,,0.67780,132.78720,-1.00530,-1.52500,-0.75050,-1.00530,5.64700,-2.5098,-2.4931
2014-03-31,21.65300,15.12300,6.53000,7.78800,,7.78800,-1.25800,-0.62600,-1.88400,-0.81400,-1.07000,-1.07000,,-1.33400,-1.12700,-1.25800,1.43400,1.43400,-0.93000,-0.93000,2.35940,1.12050,-10.75860,30.15750,-5.80980,-5.80980,-8.70090,-6.16080,0.34420,,1.19330,75.41910,20.40430,9.66400,-1.70100,-2.45890,-3.49570,3.69040,3.66530
2013-12-31,18.18800,6.94800,11.24000,8.33400,,8.33400,2.90600,-0.86000,2.04600,1.04600,1.00000,1.00000,,0.93400,3.05200,2.90600,1.43400,1.49500,0.75000,0.74000,1.95030,1.09310,-15.26910,61.79900,15.97760,15.97760,11.24920,5.13530,0.24690,,1.07260,83.90860,-24.09060,-10.02100,1.35730,2.24180,-2.76730,-0.3037,-0.0087
2013-09-30,21.75100,13.88400,7.86700,7.08500,,7.08500,0.78200,-0.67900,0.10300,-0.13300,0.23600,0.23600,,0.36600,1.10200,0.78200,1.43400,1.49500,0.26000,0.24000,1.95140,1.12250,-11.06600,36.16850,3.59520,3.59520,0.47350,1.68270,0.33190,,2.24820,40.03260,-4.43610,-2.11700,0.36010,0.54330,-3.54630,-1.4092,-1.5671
