Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2019-09-30,4.54850,5.88890,-1.34040,,5.02600,,5.02610,-6.36640,0.06680,-6.29960,6.72940,-13.02900,-13.02900,-13.02900,-2.73230,-6.36640,9.51700,9.51700,-1.37000,-1.37000,9.59010,0.00700,0.00770,-29.46820,-139.96590,-139.96590,-138.49690,-286.44400,0.01580,8.65190,0.47020,191.42560,-4.89590,-4.89590,-4.52480,-4.86150,27.96410,-0.5781,-5.3827
2019-06-30,6.00940,5.86560,0.14380,,1.34200,,1.34200,-1.19820,0.09450,-1.10370,-0.36600,-0.73770,-0.73770,-0.73770,2.38950,-1.19820,9.44300,9.44300,-0.08000,-0.08000,5.29550,0.00670,0.00720,2.39280,-19.93820,-19.93820,-18.36600,-12.27590,0.01820,12.92940,0.89350,100.72760,-0.25630,-0.25630,-0.22380,-0.25460,30.24630,-0.6884,-1.6368
2019-03-31,0.03860,4.32940,-4.29090,,2.10520,,2.10520,-6.39600,0.09680,-6.29930,-1.39510,-4.90410,-4.90410,-4.90410,-3.01880,-6.39600,9.37700,9.37700,-0.52000,-0.52000,34.87450,0.00710,0.00800,-11124.86000,-16582.91000,-16582.91000,-16332.06000,-12714.90000,0.00010,,1.22010,73.76170,-1.66160,-1.66160,-1.57700,-1.64990,31.45040,-0.02810,-0.29770
2018-12-31,0.00000,4.13320,-4.13320,,5.24720,-4.27850,37.49180,-41.62500,0.11470,-41.51030,-2.82930,-38.68100,-38.68100,-38.68100,-10.17840,-41.62500,9.36100,9.36100,-4.10000,-4.10000,71.40050,0.00700,0.00770,,,,,,0.00000,,0.00000,,-13.16340,-13.16340,-12.95640,-13.07130,31.39120,-0.6026,-3.1515
2018-09-30,0.34310,5.63200,-5.28890,,1.33400,-20.17600,21.51000,-26.79890,0.12440,-26.67460,-7.18150,-19.49300,-19.49300,-19.49300,-21.88060,-26.79890,9.36080,9.36080,-2.10000,-2.10000,67.56500,0.00620,0.00670,-1541.58500,-7811.27200,-7811.27200,-7775.02400,-5681.77500,0.00100,86.61740,0.83890,107.28570,-5.88380,-6.42490,-5.79290,-5.84730,35.39250,0.1697,0.0544
2018-06-30,0.00460,5.68950,-5.68490,,1.14670,,1.14670,-6.83160,0.13550,-6.69610,-1.88320,-4.81290,-4.81290,-4.81290,-1.92700,-6.83160,9.36080,9.36080,-0.50000,-0.50000,70.52390,0.00580,0.00620,-123746.20000,-148707.20000,-148707.20000,-145757.80000,-104764.30000,0.00000,31.41740,0.00100,,-1.31670,-1.43020,-1.29780,-1.30900,39.04950,0.1605,-0.9304
2018-03-31,2.24730,6.93730,-4.69010,,3.60690,,3.60700,-8.29700,0.12610,-8.17080,-1.19370,-6.97710,-6.97710,-6.97710,-3.39540,-8.29700,9.36080,9.36520,-0.75000,-0.75000,62.15930,0.00610,0.00680,-208.70060,-369.20310,-369.20310,-363.59040,-310.47040,0.00570,35.79610,0.21930,410.44520,-1.78470,-1.93590,-1.75600,-1.77390,41.76290,2.12480,2.11180
2017-12-31,3.36160,6.50290,-3.14130,0.02590,2.21060,-17.58120,19.81780,-22.95910,0.11750,-22.84160,-5.54250,-17.29910,-17.29910,-17.29910,-18.53970,-22.95910,9.35920,9.36720,-1.80000,-1.80000,74.69720,0.00600,0.00660,-93.44830,-682.99020,-682.99010,-679.49330,-514.61580,0.00870,5.43360,0.11290,796.98620,-4.52900,-4.90630,-4.46430,-4.50190,40.80440,4.1961,2.3475
2017-09-30,23.84040,16.39220,7.44820,0.04210,2.64290,0.07200,2.61290,4.83530,0.09970,4.93500,1.50930,3.42560,3.42560,3.42560,10.55160,4.83530,9.35880,9.37960,0.35000,0.35000,35.98760,0.00570,0.00620,31.24210,20.28180,20.28180,20.70000,14.36910,0.05920,6.74280,0.33210,271.03160,0.87200,0.94130,0.85090,0.86700,41.96630,1.4876,1.4275
2017-06-30,47.53200,26.93170,20.60030,0.06530,2.15760,0.10510,2.11780,18.48250,0.09070,18.57310,4.82150,13.75170,13.75170,13.75170,23.97950,18.48250,9.35880,9.35940,1.45000,1.45000,11.97830,0.00580,0.00610,43.33980,38.88430,38.88430,39.07500,28.93140,0.11730,5.56150,0.54720,164.46760,3.61310,3.90370,3.39330,3.59220,40.66770,0.1156,0.1156
