Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2012-03-31,16.77700,3.85000,12.92700,10.29000,,10.29000,2.63700,1.20000,3.83000,1.04000,2.79000,,2.73300,2.73300,2.63700,2.63700,56.67500,55.97300,0.05000,0.05000,6.89860,,,77.01020,15.71800,15.71800,22.82890,16.29020,0.09050,,1.50740,59.70670,,1.74200,1.47400,1.74200,,0.00000,
2011-12-31,14.44600,3.82000,10.62600,8.48000,,8.48000,2.14600,1.83000,4.00000,0.44000,3.56000,-0.02500,3.53400,3.53400,2.14600,2.14600,55.89200,56.75600,0.06000,0.06000,10.16740,,,73.65360,14.85530,14.85530,27.68930,24.46350,0.07980,,2.31880,38.81350,2.19500,2.19480,1.95310,2.19480,,0.3749,0.3119
2011-09-30,19.26700,3.98000,15.28700,9.44000,,9.44000,5.84700,1.94000,7.77000,2.05000,5.72000,0.01000,5.73100,5.73100,5.84700,5.84700,55.83900,57.04500,0.10000,0.10000,8.92740,,,79.30660,30.34720,30.34720,40.32800,29.74520,0.10880,,1.70200,52.87800,,3.68170,3.23530,3.68170,,0,0
2011-06-30,24.63700,4.39000,20.24700,8.39000,,8.39000,11.85700,1.65000,12.16000,3.21000,8.95000,-0.00100,8.94200,8.94200,11.85700,11.85700,55.74800,57.10800,0.16000,0.16000,10.35260,,,76.71390,48.12680,48.12680,49.35670,36.29500,0.14780,,1.99330,45.15160,,6.02970,5.36540,6.02970,,0,0
2011-03-31,15.14800,2.61000,12.53800,5.94000,,5.94000,6.59800,1.24000,7.84000,2.07000,5.77000,-0.00400,5.76300,5.76300,6.59800,6.59800,55.67700,57.12700,0.10000,0.10000,8.88710,,,82.71720,43.55690,43.55690,51.75600,38.04460,0.09630,,1.49090,60.36440,,4.16850,3.66370,4.16850,,0.00000,
2010-12-31,14.00400,,14.00400,,,,14.00400,,14.00400,,14.00400,,4.24800,4.24800,14.00400,14.00400,46.33000,47.80800,0.08000,0.08000,9.58380,,,100.00000,100.00000,100.00000,100.00000,30.33420,0.09420,,12.84770,7.00510,3.22770,3.22720,2.85710,3.22750,,0.4483,0.4242
2010-09-30,3.51500,1.83000,1.68500,4.65000,,4.65000,-2.96500,0.14000,4.43000,1.28000,3.15000,-0.00500,0.50500,0.50500,-2.96500,-2.96500,22.90100,33.70400,0.01000,0.01000,3.59190,,,254.33850,-84.35280,-84.35280,126.03130,14.36700,0.11400,,1.97470,45.57610,2.97760,2.35430,1.63750,2.35540,,0,0
2010-06-30,8.27000,,8.27000,,,,8.27000,,8.27000,,8.27000,,1.91300,1.91300,8.27000,8.27000,26.95500,46.06400,0.05000,0.04000,,,,100.00000,100.00000,100.00000,100.00000,23.13180,,,,,,,,,,0,0
2010-03-31,5.86700,,5.86700,,,,5.86700,,5.86700,,5.86700,,2.23100,2.23100,5.86700,5.86700,25.60500,34.03400,0.06000,0.04000,,,,100.00000,100.00000,100.00000,100.00000,38.02630,,,,,,,,,,0.00000,
2009-12-31,5.44800,,5.44800,,,,5.44800,,5.44800,,5.44800,,2.24900,2.24900,5.44800,5.44800,36.61500,36.61500,0.06000,0.04000,,,,100.00000,100.00000,100.00000,100.00000,41.28120,,,,,,,,,,0,0
